Date,Open,High,Low,Close,Adj Close,Volume
2022-12-02,59.000000,59.880001,58.720001,59.389999,55.793499,3332500
2022-12-05,59.400002,59.540001,58.380001,58.820000,55.258015,6032800
2022-12-06,59.000000,59.200001,58.310001,58.869999,55.304989,3639000
2022-12-07,58.740002,59.130001,58.439999,58.959999,55.389538,2527800
2022-12-08,59.049999,59.189999,57.889999,58.200001,54.675564,3112400
2022-12-09,57.900002,58.650002,57.889999,58.520000,54.976185,3360000
2022-12-12,58.060001,58.290001,56.900002,57.599998,54.111893,6955700
2022-12-13,58.080002,58.340000,56.099998,56.450001,53.031540,10116800
2022-12-14,56.549999,57.060001,56.070000,56.090000,52.693336,6790400
2022-12-15,56.000000,56.090000,55.380001,55.660000,52.289375,6386900
2022-12-16,55.279999,55.820000,55.029999,55.439999,52.082699,10617700
2022-12-19,55.450001,55.910000,54.119999,54.349998,51.058708,9621800
2022-12-20,54.689999,55.459999,54.430000,55.189999,51.847839,7003500
2022-12-21,55.790001,56.070000,55.689999,55.840000,52.458477,5232600
2022-12-22,55.750000,55.750000,54.549999,55.320000,51.969971,4737200
2022-12-23,54.639999,54.990002,54.320000,54.720001,52.208496,7674700
2022-12-28,54.709999,54.779999,53.580002,53.770000,51.302094,10236700
2022-12-29,54.000000,55.090000,53.939999,54.959999,52.437477,3435800
2022-12-30,54.750000,55.029999,54.549999,54.770000,52.256195,1455500
2023-01-03,55.240002,55.540001,54.770000,55.400002,52.857285,3282000
2023-01-04,55.549999,56.180000,55.520000,55.980000,53.410660,3508500
2023-01-05,55.669998,55.919998,55.270000,55.849998,53.286629,3055200
2023-01-06,55.970001,56.590000,55.840000,56.560001,53.964039,3330600
2023-01-09,56.590000,57.080002,56.509998,56.820000,54.212109,3029400
2023-01-10,56.700001,57.070000,56.700001,56.930000,54.317059,2598500
2023-01-11,57.049999,57.549999,56.919998,57.270000,54.641453,3681700
2023-01-12,57.500000,58.029999,57.400002,57.849998,55.194832,2615900
2023-01-13,57.500000,58.560001,57.430000,58.500000,55.814999,2603200
